q314	q512	MAT_add	VER_add	MAT_sub	VER_sub	MAT_mul	VER_mul
0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
4277	1069	0.522034	0.522034	0.000061	0.000061	0.068130	0.068130
8481	2120	1.035217	1.035217	0.000061	0.000061	0.267919	0.267919
12540	3135	1.530762	1.530762	0.000000	0.000000	0.585808	0.585808
16384	4096	2.000000	2.000000	0.000000	0.000000	1.000000	1.000000
19948	4987	2.435059	2.435059	0.000000	0.000000	1.482378	1.482378
23170	5793	2.828491	2.828491	-0.000122	-0.000122	2.000091	2.000091
25997	6499	3.173401	3.173401	0.000061	0.000061	2.517618	2.517618
28378	7094	3.463989	3.463989	0.000122	0.000122	2.999805	2.999805
30274	7568	3.695435	3.695435	0.000122	0.000122	3.414059	3.414059
31651	7913	3.863708	3.863708	-0.000061	-0.000061	3.732061	3.732061
32488	8122	3.965820	3.965820	0.000000	0.000000	3.931933	3.931933
32768	8192	4.000000	4.000000	0.000000	0.000000	4.000000	4.000000
32488	8122	3.965820	3.965820	0.000000	0.000000	3.931933	3.931933
31651	7913	3.863708	3.863708	-0.000061	-0.000061	3.732061	3.732061
30274	7568	3.695435	3.695435	0.000122	0.000122	3.414059	3.414059
28378	7094	3.463989	3.463989	0.000122	0.000122	2.999805	2.999805
25997	6499	3.173401	3.173401	0.000061	0.000061	2.517618	2.517618
23170	5793	2.828491	2.828491	-0.000122	-0.000122	2.000091	2.000091
19948	4987	2.435059	2.435059	0.000000	0.000000	1.482378	1.482378
16384	4096	2.000000	2.000000	0.000000	0.000000	1.000000	1.000000
12540	3135	1.530762	1.530762	0.000000	0.000000	0.585808	0.585808
8481	2120	1.035217	1.035217	0.000061	0.000061	0.267919	0.267919
4277	1069	0.522034	0.522034	0.000061	0.000061	0.068130	0.068130
0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-4277	-1069	-0.522034	-0.522034	-0.000061	-0.000061	0.068130	0.068130
-8481	-2120	-1.035217	-1.035217	-0.000061	-0.000061	0.267919	0.267919
-12540	-3135	-1.530762	-1.530762	0.000000	0.000000	0.585808	0.585808
-16384	-4096	-2.000000	-2.000000	0.000000	0.000000	1.000000	1.000000
-19948	-4987	-2.435059	-2.435059	0.000000	0.000000	1.482378	1.482378
-23170	-5793	-2.828491	-2.828491	0.000122	0.000122	2.000091	2.000091
-25997	-6499	-3.173401	-3.173401	-0.000061	-0.000061	2.517618	2.517618
-28378	-7094	-3.463989	-3.463989	-0.000122	-0.000122	2.999805	2.999805
-30274	-7568	-3.695435	-3.695435	-0.000122	-0.000122	3.414059	3.414059
-31651	-7913	-3.863708	-3.863708	0.000061	0.000061	3.732061	3.732061
-32488	-8122	-3.965820	-3.965820	0.000000	0.000000	3.931933	3.931933
-32768	-8192	-4.000000	-4.000000	0.000000	0.000000	4.000000	4.000000
-32488	-8122	-3.965820	-3.965820	0.000000	0.000000	3.931933	3.931933
-31651	-7913	-3.863708	-3.863708	0.000061	0.000061	3.732061	3.732061
-30274	-7568	-3.695435	-3.695435	-0.000122	-0.000122	3.414059	3.414059
-28378	-7094	-3.463989	-3.463989	-0.000122	-0.000122	2.999805	2.999805
-25997	-6499	-3.173401	-3.173401	-0.000061	-0.000061	2.517618	2.517618
